# weightThreshold=8
# threshold_off=5.60
# weightlimit=300
# hxScale=527
# CAMERA_DELAY=2.0
# startup_offset=173768
# startup_note=STARTUP_ZERO spread=1227 < 3000.0
# startup_attempts=1
# startup_delay=10.54
time,mono_t,raw,offset,weight,sigma,threshold,state,events
19:12:54,43.187,173321,173768,0.85,0.00,8.00,IDLE,
19:12:55,44.121,173494,173768,0.52,0.20,8.00,IDLE,
19:12:56,45.068,174157,173768,-0.74,0.48,8.00,IDLE,
19:12:57,46.035,173992,173768,-0.43,0.57,8.00,IDLE,
19:12:58,47.139,173945,173768,-0.34,0.50,8.00,IDLE,
19:12:59,48.070,173790,173768,-0.04,0.46,8.01,IDLE,
19:13:00,49.004,174346,173768,-1.10,0.46,8.02,IDLE,
19:13:01,50.088,174293,173768,-1.00,0.53,8.04,IDLE,
19:13:02,51.020,173860,173768,-0.18,0.52,8.06,IDLE,
19:13:03,52.099,174133,173768,-0.69,0.49,8.08,IDLE,
19:13:04,53.026,174134,173768,-0.70,0.48,8.10,IDLE,
19:13:05,54.108,174342,173768,-1.09,0.47,8.12,IDLE,
19:13:06,55.036,174622,173768,-1.62,0.51,8.13,IDLE,
19:13:07,56.116,174482,173768,-1.36,0.57,8.15,IDLE,
19:13:08,57.041,174597,173768,-1.57,0.58,8.17,IDLE,
19:13:09,58.121,174993,173768,-2.33,0.73,8.20,IDLE,
19:13:10,59.047,174883,173768,-2.12,0.76,8.22,IDLE,
19:13:11,60.127,175453,173768,-3.20,0.85,8.25,IDLE,
19:13:12,61.055,174652,173768,-1.68,0.90,8.28,IDLE,
19:13:13,62.151,174609,173768,-1.60,0.89,8.31,IDLE,
19:13:14,63.083,174619,173768,-1.62,0.88,8.34,IDLE,
19:13:15,64.008,174575,173768,-1.53,0.87,8.37,IDLE,
19:13:16,65.088,175842,173768,-3.94,0.93,8.40,IDLE,
19:13:17,66.014,175554,173768,-3.39,1.03,8.43,IDLE,
19:13:18,67.094,174877,173768,-2.11,1.01,8.47,IDLE,
19:13:19,68.030,174219,173768,-0.86,1.00,8.50,IDLE,
19:13:20,69.126,174948,173768,-2.24,0.99,8.53,IDLE,
19:13:21,70.066,173648,173768,0.23,0.99,8.56,IDLE,
19:13:22,71.004,173785,173768,-0.03,1.01,8.59,IDLE,
19:13:23,72.084,174883,173768,-2.12,1.00,8.63,IDLE,
19:13:24,73.009,175177,173768,-2.67,1.02,8.65,IDLE,
19:13:25,74.089,173421,173768,0.66,1.03,8.69,IDLE,
19:13:26,75.016,173280,173768,0.93,1.06,8.72,IDLE,
19:13:27,76.100,174337,173768,-1.08,1.04,8.75,IDLE,
19:13:28,77.040,174903,173768,-2.15,1.01,8.78,IDLE,
19:13:29,78.137,174538,173768,-1.46,1.01,8.81,IDLE,
19:13:30,79.078,173349,173768,0.79,1.01,8.84,IDLE,
19:13:31,80.019,173018,173768,1.42,1.08,8.86,IDLE,
19:13:32,81.112,174376,173768,-1.15,1.11,8.90,IDLE,
19:13:33,82.037,175584,173768,-3.45,1.14,8.93,IDLE,
19:13:34,83.117,176479,173768,-5.15,1.28,8.97,IDLE,
19:13:35,84.044,172677,173768,2.07,1.36,9.00,IDLE,
19:13:36,85.123,172954,173768,1.54,1.47,9.05,IDLE,
19:13:37,86.054,173388,173768,0.72,1.53,9.09,IDLE,
19:13:38,87.150,172849,173768,1.74,1.59,9.14,IDLE,
19:13:39,88.090,173163,173768,1.15,1.65,9.18,IDLE,
19:13:40,89.030,172997,173768,1.46,1.70,9.23,IDLE,
19:13:41,90.127,172538,173768,2.33,1.78,9.29,IDLE,
19:13:42,91.071,172652,173768,2.12,1.84,9.33,IDLE,
19:13:43,92.011,173192,173768,1.09,1.87,9.39,IDLE,
19:13:44,93.107,173108,173768,1.25,1.87,9.44,IDLE,
19:13:45,94.048,172699,173768,2.03,1.88,9.49,IDLE,
19:13:46,95.145,172487,173768,2.43,1.93,9.55,IDLE,
19:13:47,96.085,172237,173768,2.90,1.98,9.61,IDLE,
19:13:48,97.025,172672,173768,2.08,2.03,9.66,IDLE,
19:13:49,98.123,172983,173768,1.49,1.97,9.72,IDLE,
19:13:50,99.063,172983,173768,1.49,1.93,9.77,IDLE,
19:13:51,100.003,172283,173768,2.82,1.93,9.82,IDLE,
19:13:52,101.100,174535,173768,-1.46,1.95,9.87,IDLE,
19:13:53,102.041,173111,173768,1.25,1.93,9.92,IDLE,
19:13:54,103.138,173352,173768,0.79,1.91,9.97,IDLE,
19:13:55,104.079,173816,173768,-0.09,1.90,10.02,IDLE,
19:13:56,105.018,173198,173768,1.08,1.86,10.06,IDLE,
19:13:57,106.115,172336,173768,2.72,1.79,10.11,IDLE,
19:13:58,107.055,172698,173768,2.03,1.80,10.15,IDLE,
19:13:59,108.152,172265,173768,2.85,1.82,10.19,IDLE,
19:14:00,109.093,172709,173768,2.01,1.83,10.23,IDLE,
19:14:01,110.033,172770,173768,1.89,1.75,10.27,IDLE,
19:14:02,111.131,172568,173768,2.28,1.66,10.31,IDLE,
19:14:03,112.073,172292,173768,2.80,1.67,10.34,IDLE,
19:14:04,113.013,172264,173768,2.85,1.68,10.37,IDLE,
19:14:05,114.114,172418,173768,2.56,1.66,10.41,IDLE,
19:14:06,115.054,172563,173768,2.29,1.47,10.44,IDLE,
19:14:07,116.151,172539,173768,2.33,0.88,10.45,IDLE,
19:14:08,117.092,172356,173768,2.68,0.86,10.45,IDLE,
19:14:09,118.033,172056,173768,3.25,0.88,10.45,IDLE,
19:14:10,119.130,172643,173768,2.13,0.86,10.46,IDLE,
19:14:11,120.070,172509,173768,2.39,0.83,10.46,IDLE,
19:14:12,121.010,172012,173768,3.33,0.84,10.46,IDLE,
19:14:13,122.107,172440,173768,2.52,0.86,10.46,IDLE,
19:14:14,123.047,171982,173768,3.39,0.87,10.46,IDLE,
19:14:15,124.144,171856,173768,3.63,0.93,10.46,IDLE,
19:14:16,125.084,171733,173768,3.86,0.94,10.47,IDLE,
19:14:17,126.024,172051,173768,3.26,0.96,10.47,IDLE,
19:14:18,127.122,171735,173768,3.86,0.97,10.48,IDLE,
19:14:19,128.061,171740,173768,3.85,0.99,10.48,IDLE,
19:14:20,129.002,172309,173768,2.77,0.98,10.49,IDLE,
19:14:21,130.099,171765,173768,3.80,0.99,10.50,IDLE,
19:14:22,131.039,171562,173768,4.19,1.02,10.50,IDLE,
19:14:23,132.137,172731,173768,1.97,1.02,10.51,IDLE,
19:14:24,133.077,172378,173768,2.64,1.02,10.52,IDLE,
19:14:25,134.017,172719,173768,1.99,0.90,10.52,IDLE,
19:14:26,135.114,172177,173768,3.02,0.87,10.52,IDLE,
19:14:27,136.054,173054,173768,1.35,0.84,10.52,IDLE,
19:14:28,137.154,172934,173768,1.58,0.76,10.52,IDLE,
19:14:29,138.095,172372,173768,2.65,0.67,10.52,IDLE,
19:14:30,139.036,172527,173768,2.35,0.67,10.51,IDLE,
19:14:31,140.133,172863,173768,1.72,0.68,10.51,IDLE,
19:14:32,141.073,172358,173768,2.67,0.69,10.50,IDLE,
19:14:33,142.013,172586,173768,2.24,0.69,10.49,IDLE,
