# weightThreshold=8
# threshold_off=5.60
# weightlimit=300
# hxScale=527
# CAMERA_DELAY=2.0
# startup_offset=173477
# startup_note=STARTUP_ZERO spread=861 < 3000.0
# startup_attempts=1
# startup_delay=10.52
time,mono_t,raw,offset,weight,sigma,threshold,state,events
17:59:49,43.255,173595,173477,-0.22,0.00,8.00,IDLE,
17:59:49,44.078,173661,173477,-0.35,0.10,8.00,IDLE,
17:59:50,45.020,173610,173477,-0.25,0.08,8.00,IDLE,
17:59:51,46.128,173737,173477,-0.49,0.13,8.00,IDLE,
17:59:52,47.056,173523,173477,-0.09,0.15,8.00,IDLE,
17:59:53,48.139,173870,173477,-0.75,0.19,8.00,IDLE,
17:59:54,49.075,173736,173477,-0.49,0.20,8.01,IDLE,
17:59:55,50.003,173704,173477,-0.43,0.18,8.02,IDLE,
17:59:56,51.092,173887,173477,-0.78,0.21,8.02,IDLE,
17:59:57,52.017,173734,173477,-0.49,0.20,8.03,IDLE,
17:59:58,53.108,173852,173477,-0.71,0.19,8.04,IDLE,
17:59:59,54.034,173830,173477,-0.67,0.19,8.05,IDLE,
18:00:00,55.117,173972,173477,-0.94,0.21,8.05,IDLE,
18:00:01,56.043,173963,173477,-0.92,0.20,8.06,IDLE,
18:00:02,57.123,174200,173477,-1.37,0.26,8.07,IDLE,
18:00:03,58.049,173890,173477,-0.78,0.26,8.08,IDLE,
18:00:04,59.129,173871,173477,-0.75,0.26,8.09,IDLE,
18:00:05,60.055,173634,173477,-0.30,0.26,8.09,IDLE,
18:00:06,61.137,173734,173477,-0.49,0.26,8.10,IDLE,
18:00:07,62.062,173750,173477,-0.52,0.25,8.11,IDLE,
18:00:08,63.142,173754,173477,-0.53,0.24,8.12,IDLE,
18:00:09,64.069,173871,173477,-0.75,0.24,8.13,IDLE,
18:00:10,65.148,173917,173477,-0.83,0.24,8.14,IDLE,
18:00:11,66.094,173793,173477,-0.60,0.24,8.14,IDLE,
18:00:12,67.033,173826,173477,-0.66,0.23,8.15,IDLE,
18:00:13,68.131,173711,173477,-0.44,0.23,8.16,IDLE,
18:00:14,69.072,173830,173477,-0.67,0.23,8.16,IDLE,
18:00:15,70.012,173739,173477,-0.50,0.22,8.17,IDLE,
18:00:16,71.110,173891,173477,-0.79,0.22,8.18,IDLE,
18:00:17,72.038,174028,173477,-1.05,0.24,8.18,IDLE,
18:00:18,73.118,173711,173477,-0.44,0.24,8.19,IDLE,
18:00:19,74.045,174068,173477,-1.12,0.24,8.20,IDLE,
18:00:20,75.126,173861,173477,-0.73,0.25,8.20,IDLE,
18:00:21,76.053,173798,173477,-0.61,0.25,8.21,IDLE,
18:00:22,77.146,173910,173477,-0.82,0.24,8.22,IDLE,
18:00:23,78.086,173962,173477,-0.92,0.24,8.22,IDLE,
18:00:24,79.026,174016,173477,-1.02,0.25,8.23,IDLE,
18:00:25,80.122,173877,173477,-0.76,0.24,8.24,IDLE,
18:00:26,81.063,173881,173477,-0.77,0.24,8.24,IDLE,
18:00:27,82.148,173826,173477,-0.66,0.24,8.25,IDLE,
18:00:28,83.074,173880,173477,-0.76,0.24,8.26,IDLE,
18:00:29,84.001,173834,173477,-0.68,0.24,8.26,IDLE,
18:00:30,85.080,173786,173477,-0.59,0.24,8.27,IDLE,
18:00:31,86.007,174081,173477,-1.15,0.24,8.27,IDLE,
18:00:32,87.134,173963,173477,-0.92,0.25,8.28,IDLE,
18:00:33,88.059,173914,173477,-0.83,0.25,8.28,IDLE,
18:00:34,89.140,173733,173477,-0.49,0.24,8.29,IDLE,
18:00:35,90.067,173642,173477,-0.31,0.24,8.30,IDLE,
18:00:36,91.146,174110,173477,-1.20,0.24,8.30,IDLE,
18:00:37,92.082,173932,173477,-0.86,0.25,8.31,IDLE,
18:00:38,93.023,173696,173477,-0.42,0.24,8.31,IDLE,
18:00:39,94.120,173810,173477,-0.63,0.24,8.32,IDLE,
18:00:40,95.060,173976,173477,-0.95,0.24,8.32,IDLE,
18:00:41,96.001,173910,173477,-0.82,0.24,8.33,IDLE,
18:00:42,97.099,173912,173477,-0.83,0.24,8.33,IDLE,
18:00:43,98.024,173868,173477,-0.74,0.24,8.34,IDLE,
18:00:44,99.106,173799,173477,-0.61,0.24,8.34,IDLE,
18:00:45,100.032,173892,173477,-0.79,0.25,8.35,IDLE,
18:00:46,101.112,173769,173477,-0.55,0.24,8.35,IDLE,
18:00:47,102.038,173766,173477,-0.55,0.24,8.36,IDLE,
18:00:48,103.139,173923,173477,-0.85,0.24,8.36,IDLE,
18:00:49,104.079,173720,173477,-0.46,0.23,8.37,IDLE,
18:00:50,105.019,173863,173477,-0.73,0.23,8.37,IDLE,
18:00:51,106.116,173880,173477,-0.76,0.23,8.37,IDLE,
18:00:52,107.058,173965,173477,-0.93,0.22,8.38,IDLE,
18:00:53,108.155,173914,173477,-0.83,0.21,8.38,IDLE,
18:00:54,109.096,173789,173477,-0.59,0.21,8.38,IDLE,
18:00:55,110.037,173651,173477,-0.33,0.21,8.39,IDLE,
18:00:56,111.135,173668,173477,-0.36,0.22,8.39,IDLE,
18:00:57,112.077,173854,173477,-0.72,0.22,8.39,IDLE,
18:00:58,113.018,173916,173477,-0.83,0.22,8.40,IDLE,
18:00:59,114.115,173922,173477,-0.84,0.21,8.40,IDLE,
18:01:00,115.055,173666,173477,-0.36,0.22,8.40,IDLE,
18:01:01,116.151,173872,173477,-0.75,0.23,8.41,IDLE,
18:01:02,117.096,173988,173477,-0.97,0.23,8.41,IDLE,
18:01:03,118.036,173743,173477,-0.50,0.23,8.41,IDLE,
18:01:04,119.134,173846,173477,-0.70,0.22,8.42,IDLE,
18:01:05,120.074,173995,173477,-0.98,0.22,8.42,IDLE,
18:01:06,121.014,174111,173477,-1.20,0.23,8.42,IDLE,
18:01:07,122.110,173777,173477,-0.57,0.23,8.43,IDLE,
18:01:08,123.050,173946,173477,-0.89,0.22,8.43,IDLE,
18:01:09,124.147,174050,173477,-1.09,0.22,8.43,IDLE,
18:01:10,125.087,173824,173477,-0.66,0.22,8.44,IDLE,
18:01:11,126.028,173581,173477,-0.20,0.23,8.44,IDLE,
18:01:12,127.125,173903,173477,-0.81,0.24,8.44,IDLE,
18:01:13,128.066,174061,173477,-1.11,0.25,8.45,IDLE,
18:01:14,129.006,173943,173477,-0.88,0.25,8.45,IDLE,
18:01:15,130.104,173714,173477,-0.45,0.25,8.45,IDLE,
18:01:16,131.044,173774,173477,-0.56,0.26,8.46,IDLE,
18:01:17,132.141,173895,173477,-0.79,0.26,8.46,IDLE,
18:01:18,133.081,173859,173477,-0.72,0.25,8.47,IDLE,
18:01:19,134.022,174042,173477,-1.07,0.25,8.47,IDLE,
18:01:20,135.118,173949,173477,-0.90,0.26,8.47,IDLE,
18:01:21,136.062,173883,173477,-0.77,0.26,8.48,IDLE,
18:01:22,137.002,173860,173477,-0.73,0.26,8.48,IDLE,
18:01:23,138.099,173817,173477,-0.65,0.26,8.49,IDLE,
18:01:24,139.039,173758,173477,-0.53,0.26,8.49,IDLE,
18:01:25,140.138,173852,173477,-0.71,0.26,8.49,IDLE,
18:01:26,141.081,173889,173477,-0.78,0.26,8.50,IDLE,
18:01:27,142.022,173998,173477,-0.99,0.26,8.50,IDLE,
18:01:28,143.119,174046,173477,-1.08,0.26,8.50,IDLE,
18:01:29,144.060,174046,173477,-1.08,0.26,8.51,IDLE,
18:01:30,145.156,173786,173477,-0.59,0.25,8.51,IDLE,
18:01:31,146.097,173991,173477,-0.98,0.26,8.51,IDLE,
18:01:32,147.037,173991,173477,-0.98,0.26,8.52,IDLE,
18:01:33,148.134,174011,173477,-1.01,0.24,8.52,IDLE,
18:01:34,149.075,174011,173477,-1.01,0.24,8.52,IDLE,
18:01:35,150.018,174022,173477,-1.03,0.24,8.52,IDLE,
18:01:36,151.114,173941,173477,-0.88,0.24,8.53,IDLE,
18:01:37,152.055,173802,173477,-0.62,0.24,8.53,IDLE,
18:01:38,153.152,173849,173477,-0.71,0.24,8.53,IDLE,
18:01:39,154.093,173951,173477,-0.90,0.23,8.53,IDLE,
18:01:40,155.033,173944,173477,-0.89,0.23,8.54,IDLE,
18:01:41,156.131,173854,173477,-0.72,0.23,8.54,IDLE,
18:01:42,157.072,173899,173477,-0.80,0.23,8.54,IDLE,
18:01:43,158.013,174064,173477,-1.11,0.23,8.54,IDLE,
18:01:44,159.110,174112,173477,-1.20,0.22,8.54,IDLE,
18:01:45,160.051,173863,173477,-0.73,0.21,8.55,IDLE,
18:01:46,161.149,173639,173477,-0.31,0.21,8.55,IDLE,
18:01:47,162.089,173893,173477,-0.79,0.21,8.55,IDLE,
18:01:48,163.028,173964,173477,-0.92,0.21,8.55,IDLE,
18:01:49,164.125,174055,173477,-1.10,0.21,8.55,IDLE,
18:01:50,165.066,174085,173477,-1.15,0.21,8.55,IDLE,
18:01:51,166.006,174039,173477,-1.07,0.22,8.55,IDLE,
18:01:52,167.103,173766,173477,-0.55,0.22,8.55,IDLE,
18:01:53,168.043,174087,173477,-1.16,0.21,8.55,IDLE,
18:01:54,169.140,173841,173477,-0.69,0.22,8.56,IDLE,
18:01:55,170.080,174145,173477,-1.27,0.22,8.56,IDLE,
18:01:56,171.021,173805,173477,-0.62,0.22,8.56,IDLE,
18:01:57,172.118,173996,173477,-0.98,0.21,8.56,IDLE,
18:01:58,173.058,174112,173477,-1.20,0.21,8.56,IDLE,
18:01:59,174.155,173853,173477,-0.71,0.21,8.56,IDLE,
18:02:00,175.096,174000,173477,-0.99,0.22,8.56,IDLE,
18:02:01,176.036,174032,173477,-1.05,0.22,8.56,IDLE,
18:02:02,177.132,173872,173477,-0.75,0.22,8.57,IDLE,
18:02:03,178.072,173957,173477,-0.91,0.22,8.57,IDLE,
