date,weight,event
07:23:15,0.00,cam_FIFO
07:23:33,0.00,cam_SND_MV_ok
07:23:38,7.00,cam_FIFO
07:25:48,7.00,cam_SND_MV_noack
07:25:48,29.00,cam_CLR_Q
07:26:34,7.00,cam_FIFO
07:28:44,7.00,cam_SND_MV_noack
07:28:44,7.00,cam_CLR_Q
07:28:49,13.00,cam_FIFO
07:29:52,13.00,cam_SND_MV_ok
07:29:58,12.00,cam_FIFO
07:32:08,12.00,cam_SND_MV_noack
07:32:08,7.00,cam_CLR_Q
07:32:13,11.00,cam_FIFO
07:34:23,11.00,cam_SND_MV_noack
07:34:23,13.00,cam_CLR_Q
07:34:41,4.00,cam_FIFO
07:36:51,4.00,cam_SND_MV_noack
07:36:51,11.00,cam_CLR_Q
07:37:00,8.00,cam_FIFO
07:39:10,8.00,cam_SND_MV_noack
07:39:10,5.00,cam_CLR_Q
07:39:22,4.00,cam_FIFO
07:41:32,4.00,cam_SND_MV_noack
07:41:32,6.00,cam_CLR_Q
07:41:44,16.00,cam_FIFO
07:43:54,16.00,cam_SND_MV_noack
07:43:54,9.00,cam_CLR_Q
07:44:12,8.00,cam_FIFO
07:46:21,8.00,cam_SND_MV_noack
07:46:21,9.00,cam_CLR_Q
07:46:34,5.00,cam_FIFO
07:48:44,5.00,cam_SND_MV_noack
07:48:44,18.00,cam_CLR_Q
